"measuring_program","date","time","station","sam_code","short_name","attribute","observable","count","total_length","fork_length","life_stage","larval_life_stage"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","9","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","7.5","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","9","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","7","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","2","","6","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","2","","5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","1","","17.5","L","L-Flexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","1","","11","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","4.5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","5.5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","6","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","1","","10.5","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","3","","4.5","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","3","","5","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","3","","5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-02-24,"9:47","STTD","","ICH","Ichthyoplankton","Cottus asper","1","","6","L","L-Preflexion"
"YBFMP",2019-04-22,"9:58","STTD","","ICH","Ichthyoplankton","Percina macrolepida","1","","4","YSL",""
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Cyprinidae","3","","25","J",""
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Cyprinidae","3","","23","J",""
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Cyprinidae","3","","30","J",""
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Menidia beryllina","2","","5","L","L-Preflexion"
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Menidia beryllina","2","","5","L","L-Preflexion"
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Cottus asper","3","","5","L","L-Preflexion"
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Cottus asper","3","","5.5","L","L-Preflexion"
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Cottus asper","3","","4","L","L-Preflexion"
"YBFMP",2019-05-06,"9:56","STTD","","ICH","Ichthyoplankton","Pomoxis sp.","1","","5","L","L-Preflexion"
"YBFMP",2019-05-20,"10:10","STTD","","ICH","Ichthyoplankton","Cyprinidae","1","","30","J",""
"YBFMP",2019-05-20,"10:10","STTD","","ICH","Ichthyoplankton","Menidia beryllina","2","","5","L","L-Preflexion"
"YBFMP",2019-05-20,"10:10","STTD","","ICH","Ichthyoplankton","Menidia beryllina","2","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","4.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","4.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","4.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","4.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","4.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","4.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","5.5","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","6","L","L-Preflexion"
"YBFMP",2019-06-03,"9:22","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","61","","6","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","1","","21","L","L-PostFlexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","6","","18.5","L","L-PostFlexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","6","","18.5","L","L-PostFlexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","6","","17","L","L-PostFlexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","6","","12","L","L-PostFlexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","6","","11.5","L","L-PostFlexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","6","","11","L","L-PostFlexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","9","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","7.5","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","9","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","4","","7","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","2","","6","L","L-Preflexion"
"YBFMP",2019-06-17,"10:15","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","2","","5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","1","","17.5","L","L-Flexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","1","","11","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","4.5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","5.5","L","L-Preflexion"
"YBFMP",2019-07-01,"9:27","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","4","","6","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Alosa sapidissima","1","","10.5","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","3","","4.5","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","3","","5","L","L-Preflexion"
"YBFMP",2019-07-15,"9:23","STTD","","ICH","Ichthyoplankton","Dorosoma petenense","3","","5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","5.5","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-01-27,"9:41","STTD","","ICH","Ichthyoplankton","Cottus asper","11","","6","L","L-Preflexion"
"YBFMP",2020-02-24,"9:47","STTD","","ICH","Ichthyoplankton","Cottus asper","1","","6","L","L-Preflexion"
